head_idx,layer,head_in_layer,avg_synergy,avg_redundancy,syn_balance,syn_red_score
82,10,2,0.21168981861522718,0.03991840824868457,0.8367503214293109,0.570047770373203
83,10,3,0.18345313539613972,0.006905952387282015,0.9449107694889715,0.8785358678606914
84,10,4,0.17437694731891085,0.004975253221613782,0.95862998561542,0.9176649114047171
85,10,5,0.13314525694291304,0.02082189916407332,0.8346808626267794,0.5641453964437834
86,10,6,0.2219030863611441,0.029998468018175375,0.8545517869855502,0.6208199365434487
87,10,7,0.22434020550711922,0.0025533451896546013,0.982076718950118,0.9845381380645011
88,11,0,0.17337394098679862,0.00438554171563521,0.9642831037820105,0.9337883622536035
89,11,1,0.199298776720048,0.002820103524636117,0.9815529383193462,0.983044245489292
90,11,2,0.16711622207927063,0.003913595181168191,0.9690038705825259,0.9472526220185945
91,11,3,0.11694143393438709,0.006862457299476836,0.9314238205209263,0.8400692813893765
92,11,4,0.18460268047587727,0.00890287981001446,0.9471190533909034,0.884834189584021
93,11,5,0.015475379838821943,0.003594104773940955,0.782894318949688,0.41644323154902735
94,11,6,0.11837589116472653,0.005505522744143034,0.9425700061852259,0.8718596971236519
95,11,7,0.2088479972001133,0.0034641906057711965,0.9570680092784362,0.9132099454984105
96,12,0,0.09229197649398425,0.001636616148384967,0.977507576580983,0.9715063315040616
97,12,1,0.14463665633517678,0.005170028937118906,0.941015757229288,0.8674267707439947
98,12,2,0.1341498142203395,0.00590891134514835,0.9402965429212217,0.8653754751219687
99,12,3,0.14898291058020124,0.006017513871460842,0.9433020097636166,0.8739474694591289
100,12,4,0.15564677216277692,0.003656100188925859,0.9714365417179214,0.9541909262123506
101,12,5,0.12843855477572985,0.004514134314430311,0.9514410484974866,0.8971610990199421
102,12,6,0.11800075679203827,0.01508929146289673,0.8641117884061333,0.6480863421761864
103,12,7,0.11661237828877628,0.004606905018583293,0.9482600757784635,0.8880885383949181
104,13,0,0.16212082727954222,0.009484313316143939,0.9089696532672922,0.7760269862528155
105,13,1,0.025443522465974585,0.004526965149966763,0.8100382810772909,0.4938614503640776
106,13,2,0.08439929412039439,0.0017486092051034654,0.9740044145773942,0.9615148438478578
107,13,3,0.12151755687551319,0.009132937425494142,0.9154111783010003,0.794399079177861
108,13,4,0.09228619893520461,0.0018333470282695513,0.9696589894503037,0.9491211088525012
109,13,5,0.0822261176383581,0.004775118885448703,0.9252257199022873,0.8223914675287561
110,13,6,0.04442977602808932,0.009723317596758284,0.7868928609271679,0.42784760929972104
111,13,7,0.013332712315980103,0.0022276369388612087,0.8433890759565527,0.5889823882537206
112,14,0,0.06743116667681415,0.003400366033720816,0.9345276789213685,0.8489219016401247
113,14,1,0.1404843521594682,0.0034172263120125137,0.953604956114104,0.9033328536286211
114,14,2,0.06662469855049939,0.01109702024257083,0.8399911498203011,0.5792910473987246
115,14,3,0.11203304771221914,0.0029117514615165647,0.9449356023847088,0.8786066946083476
116,14,4,0.14966518849383695,0.0026148316283603978,0.9579915490805374,0.9158440048206041
117,14,5,0.034182134403280835,0.0020255210816676654,0.9267435478019398,0.8267205161734045
118,14,6,0.09172506246373718,0.008252576434860784,0.9034770047684816,0.7603612164084547
119,14,7,0.11939037228736796,0.002250688967490975,0.972973348945136,0.95857410644351
120,15,0,0.039099401271053935,0.0039003283620613885,0.8849368404108302,0.7074821822291358
121,15,1,0.040714954235198816,0.0017313805045344655,0.9443126354529188,0.8768299094060571
122,15,2,0.04445469344829648,0.0018524224180092015,0.9459886752437725,0.8816101995737587
123,15,3,0.15366695430998284,0.0039029290453805763,0.9487029844781383,0.8893517733812225
124,15,4,0.08134490284227602,0.008830396119609406,0.8872302775670526,0.7140233724490573
125,15,5,0.012872305983157879,0.0015875702354197388,0.8831743562031128,0.702455340996095
126,15,6,0.12041699872525148,0.004562143243176579,0.9498106483752227,0.8925109793053573
127,15,7,0.05436529007916817,0.0016067482459179968,0.9563764053236405,0.9112373983052625
